rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,delay,factorized_checkin_type,factorized_state,factorized_delay
522731.0,199923.0,mobile,ended,-62.0,,,0- No delay,0,0,0
553664.0,377219.0,connect,ended,-6.0,,,0- No delay,1,0,0
542452.0,365148.0,mobile,ended,-150.0,,,0- No delay,0,0,0
542511.0,345701.0,mobile,ended,-317.0,,,0- No delay,0,0,0
542586.0,389147.0,mobile,ended,-104.0,,,0- No delay,0,0,0
565101.0,280224.0,mobile,ended,-3.0,,,0- No delay,0,0,0
564926.0,385629.0,connect,ended,-484.0,,,0- No delay,1,0,0
542731.0,199360.0,mobile,ended,-23.0,,,0- No delay,0,0,0
543339.0,392055.0,mobile,ended,-120.0,,,0- No delay,0,0,0
543370.0,380513.0,mobile,ended,-38.0,,,0- No delay,0,0,0
564732.0,414768.0,connect,ended,-26.0,,,0- No delay,1,0,0
522452.0,404168.0,mobile,ended,-12.0,,,0- No delay,0,0,0
543588.0,374698.0,mobile,ended,-59.0,,,0- No delay,0,0,0
543626.0,392882.0,mobile,ended,-148.0,,,0- No delay,0,0,0
522163.0,360902.0,mobile,ended,-10.0,,,0- No delay,0,0,0
548033.0,280936.0,mobile,ended,-101.0,,,0- No delay,0,0,0
544035.0,408179.0,mobile,ended,-58.0,,,0- No delay,0,0,0
521323.0,393670.0,mobile,ended,-22.0,,,0- No delay,0,0,0
564631.0,185552.0,mobile,ended,-449.0,,,0- No delay,0,0,0
564612.0,408451.0,mobile,ended,-182.0,,,0- No delay,0,0,0
520333.0,372779.0,mobile,ended,-222.0,,,0- No delay,0,0,0
548303.0,338940.0,mobile,ended,-101.0,,,0- No delay,0,0,0
544342.0,358438.0,mobile,ended,-10.0,,,0- No delay,0,0,0
544526.0,392633.0,mobile,ended,-20.0,,,0- No delay,0,0,0
553542.0,248238.0,mobile,ended,-32.0,,,0- No delay,0,0,0
544978.0,409055.0,mobile,ended,-33.0,,,0- No delay,0,0,0
565353.0,392718.0,mobile,ended,-47.0,,,0- No delay,0,0,0
529847.0,350052.0,mobile,ended,-37.0,,,0- No delay,0,0,0
546321.0,392859.0,mobile,ended,-69.0,,,0- No delay,0,0,0
553278.0,369845.0,mobile,ended,-32.0,,,0- No delay,0,0,0
552399.0,399951.0,mobile,ended,-114.0,,,0- No delay,0,0,0
550561.0,358082.0,connect,ended,-47.0,,,0- No delay,1,0,0
553226.0,412208.0,mobile,ended,-129.0,,,0- No delay,0,0,0
553209.0,412439.0,mobile,ended,-36.0,,,0- No delay,0,0,0
553069.0,389664.0,mobile,ended,-33.0,,,0- No delay,0,0,0
551528.0,404672.0,mobile,ended,-69.0,,,0- No delay,0,0,0
553031.0,406124.0,connect,ended,-45.0,,,0- No delay,1,0,0
534647.0,349406.0,mobile,ended,-69.0,,,0- No delay,0,0,0
551919.0,322943.0,mobile,ended,-25.0,,,0- No delay,0,0,0
565785.0,389307.0,mobile,ended,-54.0,,,0- No delay,0,0,0
547145.0,305525.0,connect,ended,-73.0,,,0- No delay,1,0,0
552332.0,404774.0,mobile,ended,-32.0,,,0- No delay,0,0,0
552500.0,338969.0,connect,ended,-174.0,,,0- No delay,1,0,0
552676.0,395852.0,mobile,ended,-16.0,,,0- No delay,0,0,0
533456.0,368432.0,mobile,ended,-2.0,539640.0,600.0,0- No delay,0,0,0
532550.0,311460.0,mobile,ended,-41.0,,,0- No delay,0,0,0
547147.0,380407.0,mobile,ended,-240.0,,,0- No delay,0,0,0
565665.0,340868.0,connect,ended,-832.0,,,0- No delay,1,0,0
553215.0,349142.0,mobile,ended,-46.0,,,0- No delay,0,0,0
553373.0,395735.0,mobile,ended,-36.0,,,0- No delay,0,0,0
547413.0,366071.0,mobile,ended,-116.0,,,0- No delay,0,0,0
545093.0,408112.0,mobile,ended,-105.0,,,0- No delay,0,0,0
545403.0,403249.0,connect,ended,-100.0,,,0- No delay,1,0,0
549973.0,316817.0,mobile,ended,-92.0,,,0- No delay,0,0,0
549991.0,399666.0,mobile,ended,-43.0,,,0- No delay,0,0,0
551186.0,401436.0,mobile,ended,-194.0,,,0- No delay,0,0,0
563901.0,376491.0,connect,ended,-170.0,559165.0,240.0,0- No delay,1,0,0
550258.0,400333.0,mobile,ended,-297.0,,,0- No delay,0,0,0
550792.0,358856.0,mobile,ended,-411.0,,,0- No delay,0,0,0
550736.0,391295.0,mobile,ended,-28.0,,,0- No delay,0,0,0
550600.0,269871.0,mobile,ended,-71.0,,,0- No delay,0,0,0
549215.0,403206.0,mobile,ended,-25.0,,,0- No delay,0,0,0
550449.0,405028.0,mobile,ended,-135.0,,,0- No delay,0,0,0
550420.0,412122.0,mobile,ended,-7.0,,,0- No delay,0,0,0
563460.0,410218.0,mobile,ended,-30.0,562205.0,300.0,0- No delay,0,0,0
550308.0,361580.0,mobile,ended,-49.0,,,0- No delay,0,0,0
550524.0,387753.0,connect,ended,-132.0,,,0- No delay,1,0,0
550548.0,331207.0,mobile,ended,-842.0,,,0- No delay,0,0,0
532623.0,407758.0,mobile,ended,-21.0,,,0- No delay,0,0,0
549648.0,408363.0,mobile,ended,-195.0,,,0- No delay,0,0,0
549641.0,313957.0,mobile,ended,-66.0,,,0- No delay,0,0,0
549587.0,381857.0,connect,ended,-5.0,,,0- No delay,1,0,0
550720.0,314605.0,mobile,ended,-14.0,,,0- No delay,0,0,0
549658.0,355842.0,connect,ended,-101.0,,,0- No delay,1,0,0
549568.0,384056.0,mobile,ended,-19.0,,,0- No delay,0,0,0
549912.0,350502.0,connect,ended,-70.0,,,0- No delay,1,0,0
549884.0,356434.0,mobile,ended,-8.0,,,0- No delay,0,0,0
551287.0,336126.0,mobile,ended,-128.0,,,0- No delay,0,0,0
551453.0,384536.0,mobile,ended,-225.0,,,0- No delay,0,0,0
551639.0,400004.0,mobile,ended,-2.0,,,0- No delay,0,0,0
545418.0,411207.0,mobile,ended,-420.0,,,0- No delay,0,0,0
545421.0,300505.0,connect,ended,-123.0,,,0- No delay,1,0,0
545502.0,365209.0,mobile,ended,-102.0,,,0- No delay,0,0,0
564542.0,397217.0,connect,ended,-97.0,,,0- No delay,1,0,0
545649.0,358225.0,mobile,ended,-157.0,,,0- No delay,0,0,0
545730.0,271806.0,connect,ended,-231.0,,,0- No delay,1,0,0
548300.0,393950.0,mobile,ended,-118.0,,,0- No delay,0,0,0
505617.0,375834.0,mobile,ended,-54.0,,,0- No delay,0,0,0
552709.0,255377.0,connect,ended,-201.0,,,0- No delay,1,0,0
548325.0,403206.0,mobile,ended,-30.0,,,0- No delay,0,0,0
548677.0,405347.0,mobile,ended,-20.0,,,0- No delay,0,0,0
550325.0,342208.0,mobile,ended,-74.0,,,0- No delay,0,0,0
548726.0,397569.0,connect,ended,-111.0,546439.0,60.0,0- No delay,1,0,0
548893.0,389994.0,mobile,ended,-86.0,,,0- No delay,0,0,0
549154.0,360289.0,mobile,ended,-322.0,,,0- No delay,0,0,0
549316.0,259392.0,mobile,ended,-43.0,,,0- No delay,0,0,0
564228.0,350374.0,connect,ended,-106.0,,,0- No delay,1,0,0
549719.0,314307.0,mobile,ended,-25.0,,,0- No delay,0,0,0
549813.0,375126.0,connect,ended,-58.0,,,0- No delay,1,0,0
549822.0,409411.0,mobile,ended,-20.0,,,0- No delay,0,0,0
551791.0,291982.0,mobile,ended,-118.0,,,0- No delay,0,0,0
564220.0,409908.0,mobile,ended,-50.0,,,0- No delay,0,0,0
551714.0,396183.0,mobile,ended,-729.0,,,0- No delay,0,0,0
551678.0,365926.0,connect,ended,-202.0,,,0- No delay,1,0,0
552537.0,379208.0,mobile,ended,-2.0,,,0- No delay,0,0,0
550208.0,264277.0,mobile,ended,-49.0,,,0- No delay,0,0,0
549908.0,284054.0,mobile,ended,-3.0,,,0- No delay,0,0,0
549457.0,407389.0,mobile,ended,-588.0,,,0- No delay,0,0,0
538974.0,376462.0,mobile,ended,-2.0,,,0- No delay,0,0,0
551601.0,291932.0,connect,ended,-44.0,,,0- No delay,1,0,0
556312.0,409646.0,mobile,ended,-146.0,,,0- No delay,0,0,0
556277.0,409615.0,mobile,ended,-29.0,,,0- No delay,0,0,0
572871.0,381435.0,mobile,ended,-20.0,571546.0,60.0,0- No delay,0,0,0
573878.0,407465.0,connect,ended,-18.0,,,0- No delay,1,0,0
573905.0,394272.0,mobile,ended,-100.0,,,0- No delay,0,0,0
556199.0,410649.0,mobile,ended,-31.0,,,0- No delay,0,0,0
543933.0,311707.0,connect,ended,-32.0,,,0- No delay,1,0,0
544176.0,371159.0,connect,ended,-100.0,,,0- No delay,1,0,0
551204.0,289496.0,connect,ended,-10.0,,,0- No delay,1,0,0
551273.0,398247.0,mobile,ended,-6.0,550197.0,630.0,0- No delay,0,0,0
556016.0,338584.0,connect,ended,-49.0,,,0- No delay,1,0,0
544433.0,359049.0,connect,ended,-110.0,,,0- No delay,1,0,0
555922.0,364922.0,connect,ended,-11.0,,,0- No delay,1,0,0
550545.0,314456.0,connect,ended,-38.0,,,0- No delay,1,0,0
544638.0,410079.0,mobile,ended,-17.0,,,0- No delay,0,0,0
551738.0,407296.0,mobile,ended,-323.0,,,0- No delay,0,0,0
551772.0,281341.0,mobile,ended,-110.0,,,0- No delay,0,0,0
550344.0,390729.0,mobile,ended,-139.0,,,0- No delay,0,0,0
551912.0,225795.0,connect,ended,-23.0,567177.0,0.0,0- No delay,1,0,0
552117.0,404542.0,mobile,ended,-5.0,,,0- No delay,0,0,0
552156.0,354494.0,mobile,ended,-63.0,,,0- No delay,0,0,0
556861.0,392241.0,connect,ended,-146.0,,,0- No delay,1,0,0
551849.0,326263.0,mobile,ended,-48.0,,,0- No delay,0,0,0
557213.0,395738.0,mobile,ended,-64.0,,,0- No delay,0,0,0
565847.0,317683.0,mobile,ended,-376.0,,,0- No delay,0,0,0
568275.0,341630.0,mobile,ended,-42.0,559873.0,480.0,0- No delay,0,0,0
568820.0,264513.0,mobile,ended,-46.0,566587.0,120.0,0- No delay,0,0,0
553577.0,381000.0,mobile,ended,-25.0,,,0- No delay,0,0,0
537971.0,345436.0,mobile,ended,-78.0,,,0- No delay,0,0,0
553395.0,339442.0,mobile,ended,-16.0,,,0- No delay,0,0,0
553308.0,368432.0,mobile,ended,-133.0,562021.0,630.0,0- No delay,0,0,0
569556.0,353425.0,connect,ended,-177.0,,,0- No delay,1,0,0
553158.0,376626.0,mobile,ended,-93.0,,,0- No delay,0,0,0
509921.0,284250.0,mobile,ended,-52.0,,,0- No delay,0,0,0
538029.0,397710.0,mobile,ended,-25.0,,,0- No delay,0,0,0
509479.0,276942.0,mobile,ended,-12.0,,,0- No delay,0,0,0
555861.0,361518.0,mobile,ended,-100.0,563287.0,30.0,0- No delay,0,0,0
552849.0,178730.0,mobile,ended,-28.0,,,0- No delay,0,0,0
570155.0,366164.0,connect,ended,-130.0,,,0- No delay,1,0,0
505696.0,329924.0,mobile,ended,-20.0,,,0- No delay,0,0,0
570701.0,375318.0,mobile,ended,-18.0,,,0- No delay,0,0,0
571038.0,341861.0,connect,ended,-152.0,574571.0,540.0,0- No delay,1,0,0
552264.0,376491.0,connect,ended,-15.0,551892.0,30.0,0- No delay,1,0,0
562975.0,344815.0,connect,ended,-181.0,,,0- No delay,1,0,0
