model_key,mileage,engine_power,fuel,paint_color,car_type,private_parking_available,has_gps,has_air_conditioning,automatic_car,has_getaround_connect,has_speed_regulator,winter_tires,rental_price_per_day,model_key_,fuel_,paint_color_,factorized_model_key,factorized_fuel,factorized_paint_color,factorized_car_type,factorized_private_parking_available,factorized_has_gps,factorized_has_air_conditioning,factorized_automatic_car,factorized_has_getaround_connect,factorized_has_speed_regulator,factorized_winter_tires,factorized_model_key_,factorized_fuel_,factorized_paint_color_
Citroën,140411,100,diesel,black,convertible,True,True,False,False,True,True,True,106,Citroën,diesel,black,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Citroën,183297,120,diesel,white,convertible,False,False,False,False,True,False,True,101,Citroën,diesel,white,0,0,1,0,1,1,0,0,0,1,0,0,0,1
Citroën,128035,135,diesel,red,convertible,True,True,False,False,True,True,True,158,Citroën,diesel,red,0,0,2,0,0,0,0,0,0,0,0,0,0,2
Citroën,97097,160,diesel,silver,convertible,True,True,False,False,False,True,True,183,Citroën,diesel,silver,0,0,3,0,0,0,0,0,1,0,0,0,0,3
Citroën,152352,225,petrol,black,convertible,True,True,False,False,True,True,True,131,Citroën,petrol,black,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Citroën,205219,145,diesel,grey,convertible,True,True,False,False,True,True,True,111,Citroën,diesel,grey,0,0,4,0,0,0,0,0,0,0,0,0,0,4
Citroën,115560,105,petrol,white,convertible,True,True,False,False,False,True,True,78,Citroën,petrol,white,0,1,1,0,0,0,0,0,1,0,0,0,1,1
Peugeot,123886,125,petrol,black,convertible,True,False,False,False,False,True,True,79,Peugeot,petrol,black,1,1,0,0,0,1,0,0,1,0,0,1,1,0
Citroën,139541,135,diesel,white,convertible,False,False,False,False,True,False,True,132,Citroën,diesel,white,0,0,1,0,1,1,0,0,0,1,0,0,0,1
Citroën,77115,135,diesel,blue,convertible,True,True,False,False,True,False,True,139,Citroën,diesel,blue,0,0,5,0,0,0,0,0,0,1,0,0,0,5
Citroën,228000,145,diesel,black,convertible,True,True,False,False,True,False,True,115,Citroën,diesel,black,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Citroën,132025,135,diesel,blue,convertible,True,True,False,False,True,True,True,147,Citroën,diesel,blue,0,0,5,0,0,0,0,0,0,0,0,0,0,5
Citroën,77061,135,diesel,black,convertible,True,True,False,False,True,True,True,191,Citroën,diesel,black,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peugeot,174631,120,diesel,black,convertible,True,True,False,False,False,False,True,102,Peugeot,diesel,black,1,0,0,0,0,0,0,0,1,1,0,1,0,0
Peugeot,208945,130,diesel,grey,convertible,True,True,False,False,True,False,True,91,Peugeot,diesel,grey,1,0,4,0,0,0,0,0,0,1,0,1,0,4
Peugeot,21167,135,petrol,white,convertible,False,False,True,False,False,False,False,148,Peugeot,petrol,white,1,1,1,0,1,1,1,0,1,1,1,1,1,1
Peugeot,24521,270,petrol,grey,convertible,True,False,False,False,False,False,True,96,Peugeot,petrol,grey,1,1,4,0,0,1,0,0,1,1,0,1,1,4
Citroën,205474,145,diesel,grey,convertible,True,True,False,False,True,True,True,105,Citroën,diesel,grey,0,0,4,0,0,0,0,0,0,0,0,0,0,4
